PoArea,PdArea,OrdLdMi,All-In
p_oarea_CA-LA,p_darea_AZ-N,440,1354.08
p_oarea_CA-LA,p_darea_AZ-N,440,1354.08
p_oarea_CA-LA,p_darea_AZ-N,440,1354.08
p_oarea_CA-LA,p_darea_AZ-N,440,1354.08
p_oarea_CA-LA,p_darea_AZ-N,440,1367.1
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,420,1286.87
p_oarea_CA-LA,p_darea_AZ-PHX,420,1286.87
p_oarea_CA-LA,p_darea_AZ-PHX,420,1286.75
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,420,1288.01
p_oarea_CA-LA,p_darea_AZ-PHX,420,1288.01
p_oarea_CA-LA,p_darea_AZ-PHX,420,1288.01
p_oarea_CA-LA,p_darea_AZ-PHX,420,1288.07
p_oarea_CA-LA,p_darea_AZ-PHX,420,1288.07
p_oarea_CA-LA,p_darea_AZ-PHX,420,1288.07
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,420,1287.83
p_oarea_CA-LA,p_darea_AZ-PHX,420,1287.83
p_oarea_CA-LA,p_darea_AZ-PHX,420,1288.37
p_oarea_CA-LA,p_darea_AZ-PHX,361,1086.77
p_oarea_CA-LA,p_darea_AZ-PHX,420,1288.37
p_oarea_CA-LA,p_darea_AZ-PHX,420,1286.99
p_oarea_CA-LA,p_darea_AZ-PHX,420,1288.37
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,420,1290.42
p_oarea_CA-LA,p_darea_AZ-PHX,346,8477
p_oarea_CA-LA,p_darea_AZ-PHX,420,1290.9
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.84
p_oarea_CA-LA,p_darea_AZ-PHX,361,977.4
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,420,1289.88
p_oarea_CA-LA,p_darea_AZ-PHX,347,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,420,1288.85
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,420,1290.24
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,420,1289.52
p_oarea_CA-LA,p_darea_AZ-PHX,420,1289.22
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,420,1289.82
p_oarea_CA-LA,p_darea_AZ-PHX,420,1287.59
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,420,1289.1
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,420,1289.1
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.84
p_oarea_CA-LA,p_darea_AZ-PHX,420,1289.52
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.84
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,347,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1158.92
p_oarea_CA-LA,p_darea_AZ-PHX,346,1155.4
p_oarea_CA-LA,p_darea_AZ-PHX,347,1155.4
p_oarea_CA-LA,p_darea_AZ-PHX,346,1155.4
p_oarea_CA-LA,p_darea_AZ-PHX,325,1485.87
p_oarea_CA-LA,p_darea_AZ-PHX,382,1600
p_oarea_CA-LA,p_darea_AZ-PHX,335,1338.58
p_oarea_CA-LA,p_darea_AZ-PHX,322,1400.72
p_oarea_CA-LA,p_darea_AZ-PHX,322,1200.25
p_oarea_CA-LA,p_darea_AZ-PHX,332,1201.36
p_oarea_CA-LA,p_darea_AZ-PHX,325,1509.59
p_oarea_CA-LA,p_darea_AZ-PHX,367,1450.87
p_oarea_CA-SF,p_darea_AZ-PHX,836,1862.05
p_oarea_CA-SF,p_darea_AZ-PHX,836,1862.05
p_oarea_CO-DEN,p_darea_AZ-PHX,753,1158.2
p_oarea_CO-DEN,p_darea_AZ-PHX,753,1269.18
p_oarea_ID-BOI,p_darea_AZ-PHX,917,1700
p_oarea_ID-BOI,p_darea_AZ-PHX,917,1700
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1212,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1246,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1303,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2542.62
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2548.73
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1303,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2554.85
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2563.41
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2300
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2563.41
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2580.53
p_oarea_MT-MW,p_darea_AZ-PHX,1227,2350
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2592.76
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2689.38
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2689.38
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2691.82
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2691.82
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2691.82
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2667.36
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2629.45
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2678.37
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2678.37
p_oarea_MT-MW,p_darea_AZ-PHX,1303,2450
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2694.27
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2691.82
p_oarea_MT-MW,p_darea_AZ-PHX,1262,2400
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2685.71
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2678.37
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2682.04
p_oarea_MT-MW,p_darea_AZ-PHX,1209,2682.04
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2606.53
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2606.53
p_oarea_OR-POR,p_darea_AZ-PHX,1321,2614.34
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2606.53
p_oarea_OR-POR,p_darea_AZ-PHX,1321,2614.34
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2606.53
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2606.53
p_oarea_OR-POR,p_darea_AZ-PHX,1321,2614.34
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2606.53
p_oarea_OR-POR,p_darea_AZ-PHX,1321,2614.34
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2606.53
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2593.17
p_oarea_OR-POR,p_darea_AZ-PHX,1238,2593.17
p_oarea_OR-POR,p_darea_AZ-PHX,1321,2600.94
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2606.53
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2754.83
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2606.53
p_oarea_OR-POR,p_darea_AZ-PHX,1247,2815.15
p_oarea_OR-POR,p_darea_AZ-PHX,1247,2815.15
p_oarea_OR-POR,p_darea_AZ-PHX,1247,2815.15
p_oarea_OR-POR,p_darea_AZ-PHX,1237,2626.54
p_oarea_OR-POR,p_darea_AZ-PHX,1254,1800
p_oarea_OR-POR,p_darea_AZ-PHX,1264,2578.73
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2606.53
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2593.17
p_oarea_OR-POR,p_darea_AZ-PHX,1271,2577.97
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2600.94
p_oarea_OR-POR,p_darea_AZ-PHX,1328,2667.94
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2673.33
p_oarea_OR-POR,p_darea_AZ-PHX,1239,2686.69
p_oarea_OR-POR,p_darea_AZ-PHX,1271,2578.73
p_oarea_OR-POR,p_darea_AZ-PHX,1271,2578.73
